column,dtype,non_null_count,unique_values
YEAR_,int64,20289,1
DISTRICT,object,20289,7
COSITE,object,20289,18694
ROADWAY,object,20289,12001
DESC_FRM,object,20226,10883
DESC_TO,object,20226,10773
AADT,int64,20289,1005
AADTFLG,object,20289,12
KFLG,object,20075,7
K100FLG,object,20045,6
DFLG,object,20075,9
TFLG,object,20279,7
COUNTYDOT,object,20289,67
COUNTY,object,20289,67
MNG_DIST,object,20289,8
BEGIN_POST,float64,20289,6351
END_POST,float64,20289,8808
KFCTR,float64,20289,5
K100FCTR,float64,20289,1
DFCTR,float64,20289,137
TFCTR,float64,20289,377
DESCRIPT,int64,20289,1005
FGDLAQDATE,datetime64[ms],20289,1
AUTOID,int64,20289,20289
SHAPE_LEN,float64,20289,20289
geometry,geometry,20289,20289
